,Sweat_Temp,Sweat_Hold,Cooling_Rate,Heating_Rate,Strategy,Purging_Coef,Yield
,DATA,DATA,DATA,DATA,METADATA,DATA,DATA
0,16.8,45,0.38,0.18,N/A,0.23,0.67
1,17,71,0.45,0.42,N/A,0.15,0.58
2,16.2,77,0.11,0.36,N/A,0.19,0.652
3,13.5,83,0.07,0.43,N/A,0.26,0.708
4,16.9,89,0.25,0.35,N/A,0.13,0.645
5,16.5,31,0.45,0.44,N/A,0.23,0.657
6,13.8,90,0.31,0.18,N/A,0.27,0.775
7,13.1,71,0.31,0.25,N/A,0.37,0.767
8,14.6,62,0.33,0.24,N/A,0.31,0.682
9,15.4,44,0.12,0.25,N/A,0.25,0.735
10,15.1,69,0.31,0.06,N/A,0.23,0.705
11,16.5,36,0.17,0.38,N/A,0.2,0.637
12,15,85,0.2,0.48,N/A,0.27,0.692
13,15.4,83,0.43,0.18,N/A,0.22,0.634
14,13.8,40,0.06,0.14,N/A,0.3,0.71
15,16,82,0.38,0.23,N/A,0.21,0.676
16,13.6,51,0.09,0.49,N/A,0.31,0.75
17,14.7,83,0.06,0.3,N/A,0.17,0.654
18,13.8,78,0.41,0.45,N/A,0.35,0.734
19,16.9,37,0.42,0.18,N/A,0.21,0.629
20,13.2,85,0.38,0.18,Manual,0.45,0.768
21,17,50,0.5,0.35,Manual,0.21,0.596
