Sweat_Temp,Sweat_Hold,Cooling_Rate,Heating_Rate,Purging_Coef,Yield
16.8,45,0.38,0.18,0.23,0.67
17,71,0.45,0.42,0.15,0.58
16.2,77,0.11,0.36,0.19,0.652
13.5,83,0.07,0.43,0.26,0.708
16.9,89,0.25,0.35,0.13,0.645
16.5,31,0.45,0.44,0.23,0.657
13.8,90,0.31,0.18,0.27,0.775
13.1,71,0.31,0.25,0.37,0.767
14.6,62,0.33,0.24,0.31,0.682
15.4,44,0.12,0.25,0.25,0.735
15.1,69,0.31,0.06,0.23,0.705
16.5,36,0.17,0.38,0.2,0.637
15,85,0.2,0.48,0.27,0.692
15.4,83,0.43,0.18,0.22,0.634
13.8,40,0.06,0.14,0.3,0.71
16,82,0.38,0.23,0.21,0.676
13.6,51,0.09,0.49,0.31,0.75
14.7,83,0.06,0.3,0.17,0.654
13.8,78,0.41,0.45,0.35,0.734
16.9,37,0.42,0.18,0.21,0.629
13.2,85,0.38,0.18,0.45,0.768
17,50,0.5,0.35,0.21,0.596
